awaywon,awaylost,homewon,homelost,homeWins,homeLosses,homeOvertimeLosses,homeConferenceWins,homeConferenceLosses,homeDivisionWins,homeDivisionLosses,homeShutoutWins,homeConferenceRank,homeDivisionRank,awayWins,awayLosses,awayOvertimeLosses,awayConferenceWins,awayConferenceLosses,awayDivisionWins,awayDivisionLosses,awayShutoutWins,awayConferenceRank,awayDivisionRank,IsClosed,AwayTeam,HomeTeam,AwayTeamMoneyLine,HomeTeamMoneyLine,PointSpread,OverUnder,PointSpreadAwayTeamMoneyLine,PointSpreadHomeTeamMoneyLine,HomeRotationNumber,AwayRotationNumber,OverPayout,UnderPayout,outcome
7.0,0.0,0.0,5.0,54,20,8,30,20,17,9,6,2,1,54,21,7,34,16,16,10,7,3,2,True,TOR,CAR,33.0,-40.0,-0.5,0.7000000000000001,-80.0,64.0,17.0,16.0,-39.0,-35.0,home
1.0,4.0,4.0,3.0,52,24,6,35,15,16,10,9,4,2,50,21,11,30,20,16,10,11,3,1,True,CGY,NYR,41.0,-48.0,-0.5,0.6000000000000001,-68.0,56.0,15.0,15.0,-34.0,-39.0,away
6.0,0.0,2.0,4.0,33,42,7,22,28,11,15,2,13,7,44,26,12,29,21,16,10,8,8,4,True,WAS,OTT,-53.0,45.0,0.2,0.7000000000000001,49.0,-60.0,17.0,17.0,-41.0,34.0,home
1.0,5.0,4.0,1.0,49,22,11,34,16,17,9,4,4,3,44,27,11,21,29,12,14,5,6,3,True,LA,STL,50.0,-60.0,-0.5,0.7000000000000001,-53.0,44.0,19.0,18.0,-34.0,-40.0,home
0.0,6.0,2.0,4.0,58,18,6,37,13,19,7,5,1,1,25,50,7,16,34,10,16,1,16,8,True,ARI,FLA,103.0,-133.0,-0.5,0.7000000000000001,43.0,-52.0,16.0,16.0,-38.0,-36.0,home
2.0,4.0,2.0,3.0,37,38,7,21,29,9,17,2,10,6,46,30,6,27,23,14,12,2,7,4,True,DAL,CBJ,-43.0,36.0,0.2,0.6000000000000001,63.0,-79.0,15.0,14.0,37.0,-44.0,home
1.0,5.0,3.0,1.0,27,46,9,15,35,9,17,2,14,7,50,21,11,30,20,16,10,11,3,1,True,CGY,NJ,33.0,-40.0,-0.5,0.7000000000000001,-83.0,67.0,20.0,20.0,33.0,-40.0,away
6.0,1.0,3.0,3.0,46,25,11,28,22,14,12,7,7,3,51,23,8,29,21,15,11,3,5,3,True,TB,PIT,-42.0,35.0,0.2,0.6000000000000001,63.0,-78.0,19.0,19.0,-37.0,-37.0,away
5.0,0.0,1.0,5.0,56,19,7,34,16,15,11,7,1,1,43,31,8,27,23,16,10,3,9,4,True,VEG,COL,53.0,-63.0,-0.5,0.7000000000000001,-52.0,43.0,21.0,20.0,-36.0,-38.0,home
3.0,3.0,6.0,0.0,40,30,12,26,24,13,13,1,10,5,53,22,7,30,20,13,13,3,2,2,True,MIN,VAN,-41.0,34.0,0.2,0.7000000000000001,67.0,-85.0,22.0,22.0,-35.0,-39.0,home
